segment_kpi_id,period_end,fiscal_year,fiscal_quarter,period_type,ticker,kpi_group,segment_name,kpi_name,kpi_value,unit,currency,source_type,source_url,source_accession_number,filed_date,is_reported,is_derived,derivation_method,confidence,notes
segment_kpi_06d0a5889ef2,2024-12-31,2024,Q4,year,GOOGL,segment,Google Cloud,revenue,43229.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_c713f0aeb92e,2024-12-31,2024,Q4,year,GOOGL,segment,Google Network,revenue,30359.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_131a81e87998,2024-12-31,2024,Q4,year,GOOGL,segment,Google Search & other,revenue,198084.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_966b3249a81a,2024-12-31,2024,Q4,year,GOOGL,segment,Google Services,operating_income,121263.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_a2b09f272f98,2024-12-31,2024,Q4,year,GOOGL,segment,Google Services,revenue,304930.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_72345777c75e,2024-12-31,2024,Q4,year,GOOGL,segment,Google subscriptions platforms and devices,revenue,40340.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_a38ec5fffe00,2024-12-31,2024,Q4,year,GOOGL,segment,Other Bets,operating_income,-4444.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_c62525100207,2024-12-31,2024,Q4,year,GOOGL,segment,Other Bets,revenue,1648.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_c4bbaccf9f84,2024-12-31,2024,Q4,year,GOOGL,segment,YouTube ads,revenue,36147.0,USD_mn,USD,10-K,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.html,0001652044-25-000014,2025-02-05,True,False,,high,Extracted from official SEC filing table.
segment_kpi_49c1da2e4519,2024-09-30,2024,Q3,quarter,GOOGL,segment,Google Cloud,operating_income,1947.0,USD_mn,USD,10-Q,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.html,0001652044-24-000118,2024-10-30,True,False,,high,Extracted from official SEC filing table.
